id,content
746494,<p><img src=17f987e258771c2.png></p><p><img src=17f987e28e6ffbe.png></p>
753122,<p>3000円です。    計算方法は、添付の図を参考にしてください。</p><p><img src=17f9aa61489b117.jpg></p>
808906,<p>下の画像の通りです。</p><p><img src=17fab9c68dc1320.jpg></p>
756124,<p><img src=17f9b2a9769337b.jpeg></p><p><img src=17f9b2a9ac41953.jpeg></p><p><img src=17f9b2a9e76c588.jpeg></p><p><img src=17f9b2aa278d7eb.jpeg></p>
806130,<p>これでどうでしょうか？</p><p><img src=17faa6e7c3ebb49.jpg></p>
579128,<p>次のように計算します。</p><p><img src=17f68fc7a738504.jpg></p>
762154,<p><img src=17f6f8706f4c778.jpg></p>
763012,<p><img src=17f6fd7970f60fa.jpg></p>
301552,<p><img src=17f0c486fef738b.jpg></p>
301734,<p><img src=17f0c492ebbb949.jpg></p><p>解答を送信しました</p>
302338,<p><img src=17f4f6bfa403d7b.jpg></p><p>解答を作成しましたので確認をお願いします。</p>
304516,<p>どうでしょう？</p><p><img src=17f261ed6cecbcc.jpg></p>
304610,<p>未知数が3つありますから（10円玉の枚数、50円玉の枚数、100円玉の枚数）条件を3つ探しましょう</p><p><img src=17f4f7bed772127.jpg></p>
306734,<p>左がアの図、右がイの図です アでは（少しわかりづらいかもしれませんが...）図のような場合が考えられるので２つの直線は必ず平行とは限りません。 イでは２つの平面が平行ならば、その平面はどんな位置でも大きさでも交わる垂直な線はどちらにも垂直になります。</p><p><img src=17f3110a15cf764.jpg></p>
308244,<p>合ってますよ〜。参考程度に模範解答貼っときますね。 AE=xとおいています。</p><p><img src=17f29edcbce6a0a.jpg></p>
314562,<p><img src=17f52da0c6ae63f.jpg></p>
314904,<p>2020を文字でおきましょう。</p><p><img src=17f52e06c050947.jpg></p>
315082,<p><img src=17f52e0b1acff89.jpg></p>
316630,<p><img src=17f52efdf07a9c9.jpg></p><p>途中式とかは特になくて、この証明自体が解説になってます！ わからない部分は説明しますね！</p>
317596,<p><img src=17f52f869c14029.jpg></p>
318654,<p><img src=17f53004d279eb8.jpg></p><p>今後の参考になりますのでレビューをお願いします</p>
318846,<p><img src=17f53022e833072.jpg></p>
318936,<p><img src=17f53030d0f9e0b.jpg></p><p>分からないところがあれば言ってください！</p>
319052,<p><img src=17f53030c9e22f7.jpg></p><p>以上1枚が解答です。</p>
319058,<p><img src=17f5304413bc210.jpg></p><p><img src=17f530447ca4b03.jpg></p>
319322,<p><img src=17f5305d7ddc8df.jpg></p>
319984,<p><img src=17f530b77d1df07.jpeg></p><p><img src=17f530b7b4ff01b.jpeg></p><p><img src=17f530b7f7af39a.jpg></p>
320086,<p><img src=17f52f7431dc3e1.jpg></p><p>質問がありましたら、遠慮なくどうぞ！</p>
320420,<p><img src=17f53102f1fc941.jpg></p>
321820,<p><img src=17f5322484afdc4.jpg></p>
321922,<p><img src=17f532237433b5d.jpg></p>
324562,<p><img src=17f533882b99448.jpg></p>
325886,<p><img src=17f534294d4caa4.jpg></p>
326876,<p><img src=17f534acbce0475.jpg></p><p>質問があれば言ってください</p>
330396,<p><img src=17f5e99f157a2a5.jpg></p>
335828,<p>球の公式を使って解きます。</p><p><img src=17f68ad26084cb3.jpg></p>
349874,<p>こちらが答えです。 因数分解を思い出してください。 因数分解をするために無理やり、2xyという項を足して、2xyを引いています。 やっていることは等式に0を足していることと同じです。 因数分解が出来たら、数字を代入して終わりです。</p><p><img src=17f68bdc46b4240.jpg></p>
395372,<p>A÷B＝A/B  と  約分が理解できれば簡単です。    分かりにくかったら一番下の図を見てください  A/B÷C/D  ＝A/B/C/D  ＝A/B×D/C/C/D×D/C  ＝A/B×D/C/１  ＝A/B×D/C    計算しやすいように÷を/にして約分していくと結果  分数÷分数が分数×逆数になるだけです。    下図の真ん中の約分は分数の分母と分子に同じD/Cをかけているだけです。  （分母と分子に同じ数をかけるのは問題ありません）  最初に分数÷分数を教えるときは約分と÷を/にする計算が難しすぎるから教えないだけじゃないでしょうか？</p><p><img src=17f68d44d02da16.jpg></p>
426806,<p>可視化しますと図のようになります。  「父と兄の年齢を加えると67」の中から  「父と弟の年齢差38」と「兄弟の年齢差3」を引くと  弟の年令の二倍が出て来ます。    (67−38−3)÷2=13    あとは弟の年令13歳を足がかりに解きます。</p><p><img src=17f68f467acd8c7.jpg></p>
1094908,<p><img src=17fd4f9ecdfb450.jpg></p><p><img src=17fd4f9ef6f46f9.jpg></p><p>分からないところがあれば質問して下さい！</p>
1131668,<p><img src=17fddaf2b069be1.jpg></p><p>平均値、偏差、分散、の順に求め算出します</p><p>答えは➁の2cmです</p>
1136024,<p><img src=17fdeb898199625.jpg></p><p><img src=17fdeb899a1f820.jpg></p><p>これで分かりますか？  (b)はネットで見つけた解説のスクショなので見づらかったらすいません。</p>
